Theta,Phi_r,v_alh (q),m_alh (q),s_alh (q),Bay (q),Bay Lower,Bay Upper,,
88.92779911,0.675166138,0.093223198,0.537123907,2.899969626,0.04530456,0.028348333,0.070498739,,
39.45769782,0.600543831,0.089022046,0.238324495,2.856301184,0.034712813,0.021860778,0.051509462,,
5.962922726,0.696842785,0.01525299,0.036016053,2.841335203,0.022283128,0.012460354,0.037958552,,
86.1306226,0.621904594,0.112016824,0.520228961,2.931560277,0.054684048,0.031503837,0.085736655,,
71.37555488,0.740094203,0.161000332,0.431108351,2.857858135,0.030665844,0.015569962,0.052958522,,
35.84793311,0.701899114,0.075235995,0.216521516,2.857527241,0.028814279,0.018731572,0.045552527,,
88.41555483,0.705214473,0.096921431,0.534029951,2.879571931,0.039198616,0.023501218,0.063245991,,
31.09821753,0.63138949,0.057747295,0.187833234,2.845113999,0.029616352,0.020145077,0.043366165,,
33.49081764,0.732245297,0.06641404,0.202284539,2.859844616,0.027325804,0.015854647,0.046225925,,
54.87582179,0.678871188,0.14225143,0.331449964,2.870610603,0.035048821,0.023500939,0.05325477,,
24.69126475,0.728562298,0.036911687,0.149135239,2.858675935,0.026305095,0.015006455,0.044631122,,
62.87143366,0.637359427,0.158659026,0.379743459,2.889435049,0.042317371,0.026994991,0.064482282,,
13.75652736,0.712749843,0.014944221,0.083089425,2.851602806,0.024464161,0.013999749,0.041761471,,
9.722278742,0.68460261,0.013104582,0.058722564,2.837904753,0.022654006,0.013576341,0.036925032,,
48.13902068,0.602734044,0.121198737,0.290759685,2.872442391,0.039019478,0.024150242,0.058660136,,
49.99443142,0.658271266,0.127481622,0.301966366,2.869242343,0.035383602,0.02388747,0.053137981,,
9.598956267,0.623816468,0.013113145,0.057977696,2.81099073,0.020235012,0.012177612,0.030912938,,
86.7758635,0.65108741,0.107982552,0.524126216,2.913676498,0.049333826,0.030290161,0.076726986,,
51.59579918,0.654849514,0.132635259,0.311638627,2.871449951,0.036229196,0.024379962,0.05439666,,
13.59314932,0.669098852,0.014793582,0.082102622,2.8345887,0.023246709,0.014841799,0.036208271,,
28.02982719,0.688605193,0.047253818,0.169300156,2.851438316,0.027388518,0.018089993,0.042811641,,
72.02107925,0.684044123,0.160390138,0.435007319,2.881873591,0.039069929,0.025241727,0.060290311,,
47.09083751,0.601267063,0.117521997,0.284428659,2.870611801,0.038594223,0.023870325,0.057977403,,
16.93335137,0.712007242,0.019036072,0.102277442,2.852322173,0.025014818,0.014662845,0.041879139,,
9.256407486,0.742893012,0.013158179,0.055908701,2.86382535,0.024880713,0.011878511,0.045868452,,
38.7696971,0.649454809,0.086384679,0.23416897,2.856871536,0.031979008,0.021994042,0.047419778,,
30.36732378,0.623168618,0.055176398,0.183418636,2.842787617,0.029499258,0.019872956,0.043108395,,
59.03256172,0.679224243,0.152204271,0.356556673,2.873789121,0.036171649,0.024054752,0.055157414,,
83.27222883,0.704884452,0.127802743,0.502964262,2.877627776,0.03822998,0.023270864,0.061343651,,
22.29572572,0.700837602,0.030362741,0.134666183,2.851026345,0.025966632,0.01624606,0.041863738,,
76.971054,0.69044425,0.151430384,0.464905166,2.8822073,0.03932789,0.024997247,0.061270582,,
82.84157806,0.617953738,0.12989444,0.500363131,2.928579778,0.053917226,0.030990622,0.084509895,,
81.18023395,0.725409954,0.137286168,0.490328613,2.865287895,0.034187734,0.018791307,0.057379943,,
85.6869597,0.661426715,0.114688393,0.517549237,2.905863084,0.046973622,0.029280453,0.072803705,,
75.78977599,0.629660512,0.154286091,0.457770247,2.911056905,0.048776686,0.029459302,0.075405387,,
53.41374049,0.608623012,0.138134642,0.322618993,2.881264468,0.04115734,0.025386583,0.062342965,,
36.88614888,0.660041494,0.079180454,0.222792339,2.85530671,0.030830827,0.021251593,0.046003414,,
44.25190074,0.691356606,0.107197162,0.26728148,2.861797161,0.03126648,0.020919901,0.048161478,,
78.53509574,0.698732772,0.146915358,0.474351978,2.878850251,0.038313988,0.023983864,0.060472418,,
27.12585397,0.745001863,0.044329758,0.163840158,2.862194893,0.026398033,0.01413315,0.046316846,,
14.33355249,0.619029842,0.015524735,0.086574657,2.816436298,0.022223907,0.014007357,0.033216021,,
12.67372963,0.748586382,0.0140613,0.076549327,2.865735021,0.025347136,0.012182306,0.046684991,,
74.42951489,0.697067567,0.157004795,0.44955427,2.877541621,0.037672398,0.023873169,0.058986018,,
68.53371177,0.665878041,0.162280371,0.413943619,2.886320215,0.040662808,0.026510512,0.062065253,,
44.78808069,0.733403022,0.109181991,0.270520007,2.860178763,0.028588323,0.016667534,0.047997806,,
24.73842853,0.703261048,0.037048505,0.149420108,2.852749326,0.026472114,0.016623318,0.042730671,,
60.9851858,0.649460399,0.155849628,0.368350522,2.883501628,0.04015558,0.026249841,0.060840878,,
3.458978769,0.732763734,0.018993795,0.020892232,2.85909054,0.023794044,0.011119279,0.043982333,,
51.14050341,0.698925365,0.131197699,0.308888641,2.864960902,0.032281929,0.021224887,0.050123331,,
35.85826519,0.703939093,0.075275111,0.216583922,2.857692847,0.028735118,0.018585932,0.045606055,,
88.00736704,0.734678267,0.099784993,0.531564497,2.860129271,0.033312002,0.016233953,0.058352787,,
45.68042242,0.664973562,0.112452012,0.275909751,2.864216693,0.033444696,0.022836165,0.05024235,,
